TimeReqd	Method	Index
15	1	1
24	1	2
20	1	3
22	1	4
13	1	5
6	1	6
20	1	7
26	1	8
10	1	9
19	1	10
11	1	11
13	1	12
21	1	13
8	1	14
13	1	15
14	1	16
11	1	17
16	1	18
8	1	19
30	1	20
9	1	21
7	1	22
8	1	23
28	1	24
11	1	25
12	1	26
15	1	27
7	1	28
9	1	29
12	1	30
23	1	31
19	1	32
14	1	33
8	1	34
14	1	35
5	1	36
14	1	37
25	1	38
5	1	39
7	1	40
11	1	41
7	1	42
6	1	43
12	1	44
8	1	45
14	1	46
40	1	47
35	1	48
19	2	49
24	2	50
39	2	51
12	2	52
29	2	53
19	2	54
23	2	55
22	2	56
12	2	57
29	2	58
22	2	59
23	2	60
12	2	61
40	2	62
16	2	63
9	2	64
20	2	65
25	2	66
10	2	67
13	2	68
9	2	69
9	2	70
14	2	71
11	2	72
19	2	73
31	2	74
16	2	75
20	2	76
11	2	77
11	2	78
21	2	79
24	2	80
28	2	81
30	2	82
14	2	83
12	2	84
12	2	85
17	2	86
16	2	87
18	2	88
12	2	89
16	2	90
11	2	91
15	2	92
20	2	93
15	2	94
11	2	95
12	2	96
17	2	97
13	2	98
16	2	99
20	2	100
26	2	101
36	2	102
16	2	103
18	2	104
13	2	105
19	2	106
11	2	107
16	2	108
14	2	109
8	2	110
21	2	111
24	2	112
7	2	113
23	2	114
11	2	115
12	2	116
27	2	117
12	2	118
17	2	119
16	2	120
